"Name","Type","Path"
"Accommodate learning abilities","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EE439E7E-CE1E-4ABE-9EA8-50F12ED01FE0}"
"Accommodate low vision","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{C3915CF9-A3D9-4EFD-B209-62C05793EE0F}"
"Change how your keyboard works","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7B086E4E-366C-454A-85CC-B8B533482B10}"
"Change how your mouse works","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EE3E6FA5-C412-4A11-9370-1ED4D42E62B2}"
"Use screen reader","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B57D7134-6BAB-47B2-A506-E885E104EC99}"
"Change the Narrator voice","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{DB5EC38C-915C-4897-AE67-D9858FE7D2FD}"
"Control the computer without the mouse or keyboard","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EF462183-352B-4DCF-811C-07FA7CFCD5AC}"
"Hear a tone when keys are pressed","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B3C577FA-7C51-4259-A1C4-088BD0B0932E}"
"Hear text read aloud with Narrator","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D048311B-5C71-40E0-9EC4-FA5DCBB49EE0}"
"Ignore repeated keystrokes using FilterKeys","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1A0593CC-3C1C-4CB7-BBB0-00E54E706D3C}"
"Let Windows suggest Ease of Access settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{F120B10E-C882-4613-955F-B4DF13C6E803}"
"Magnify portions of the screen using Magnifier","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{3D8638E3-EC96-4CE8-8279-36B0065B5F2C}"
"Move the pointer with the keypad using MouseKeys","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7238DF62-4FD5-410A-9ED2-55B1DBB3442D}"
"Optimize for blindness","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{AD312C84-CB4F-4C49-9D5D-E84123D33DE4}"
"Optimize visual display","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{54692DB7-FC98-4D5E-AC15-CC5095FA5669}"
"Press key combinations one at a time","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E5A79670-70E6-43F8-9143-E0D334599E6C}"
"Replace sounds with visual cues","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{C3F521C1-249F-48FD-9D9D-731EA4568776}"
"Turn High Contrast on or off","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{3A0EF024-0434-4E4D-8548-6940D00EF72A}"
"Turn Magnifier on or off","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9C945AFD-77F9-4BDA-94B8-58D2A9DCDB2E}"
"Turn off background images","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E2990AA8-20F1-435D-9D78-679171138FD5}"
"Turn off unnecessary animations","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0374B07C-9111-4B30-BE13-BFC947F27ADA}"
"Turn On-Screen keyboard on or off","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{08E0BCF8-0E51-4C9F-9425-F7A2B8AF88D5}"
"Turn on easy access keys","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{73C9C58C-2E01-4F68-B1B9-7A4DD2EF71F7}"
"Use audio description for video","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B0B4886C-4B31-4824-ADCD-0DAF5C8BAFF6}"
"View current accessibility settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7ABBE8E6-757F-419A-B2E0-07D5694F8E0F}"
"Turn off automatic window arrangement","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{CE4F7091-EEC0-400E-A019-38503D525293}"
"Create and format hard disk partitions","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EE423D17-7ED8-4B33-9555-C23DEEAFB4B6}"
"Defragment and optimize your drives","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7D13A5DB-6081-48BD-8EA3-A9D7FE67A335}"
"Diagnose your computer's memory problems","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9430DB91-B966-4971-A955-E3DBA1F889E7}"
"Edit group policy","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{C5AE651D-D027-4D11-8125-595B9933C78B}"
"Free up disk space by deleting unnecessary files","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{AACA901F-E74F-4894-B074-F55059532853}"
"Schedule tasks","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{C16A18A2-DC4F-4B7D-92F1-14C430AD17DC}"
"Set up ODBC data sources (32-bit)","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{420C524A-2A76-43F7-B1B2-C3CF736557C7}"
"Set up ODBC data sources (64-bit)","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{4BCD16D0-BA72-4F0D-88F9-50D912BFA2B2}"
"Set up iSCSI initiator","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{944A41B9-C0FD-41AE-A6DF-5AC4FE5A59B4}"
"View event logs","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{45FDB5DF-1457-4A41-A824-7AD9C75767BC}"
"View local services","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{6775CCA4-CC42-44F7-800C-4E94FF1EA8C0}"
"Manage computer certificates","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{693E4EF5-9060-469B-AB2E-948B6B68A883}"
"Uninstall a program","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{040873CB-404A-49FE-A254-A9BB9CEFAEA5}"
"Add or remove programs","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{A3C2D653-DD00-40F1-8E53-796F9BA1EE01}"
"View installed updates","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{A7160DE5-E591-4D98-9BB0-0CAC99D5F2D5}"
"Turn Windows features on or off","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{91BA8E01-F854-4418-A108-E63323DDAE60}"
"Show which programs are installed on your computer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{8766D9F4-521B-4B59-9F56-5ADF4F206C0E}"
"How to install a program","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0747A7B5-1806-45A4-9C3B-9CA4B0349754}"
"Change or remove a program","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{98CCA0B9-CF6C-4FFD-98E1-87BFEDDD4D21}"
"Run programs made for previous versions of Windows","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{29B87534-19A8-4A39-AA81-2148E7DE5894}"
"View devices and printers","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{DAF32862-EF3D-4D61-AB92-47AEB51DDC80}"
"Add a device","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D3D71B01-F746-499E-A426-FF63FAC98C19}"
"Advanced printer setup","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{11E71674-7556-4E27-8D59-03B2FA846204}"
"Add a Bluetooth device","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0D2EC3D1-4305-4153-92D1-7E56311B2C00}"
"Device Manager","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{C5361E07-6AA3-4453-81BC-93E8F85EABED}"
"Change Windows To Go startup options","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{EF8F379B-747B-4C8E-B3D1-4A29E6CF45AE}"
"Change default printer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{CF081448-68EC-4969-9F8B-BB23B329B712}"
"View scanners and cameras","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{5DE5B491-2CEA-4AD9-824A-982A22C0B64E}"
"Change Bluetooth settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1515BA81-68EB-4143-A29F-51A40A65DAE6}"
"Set up USB game controllers","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{CD2A5953-36A2-427D-B762-3610F37A5D89}"
"Change device installation settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{083D5202-600A-4F38-981B-2D138FBDC4D1}"
"Change advanced color management settings for displays, scanners, and printers","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{54D8069E-E75A-4437-B45B-8EB3B8C97434}"
"Add clocks for different time zones","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{141D98AD-3E07-4C44-A578-4DCA078286A4}"
"Automatically adjust for daylight saving time","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{1F7C24AC-B26E-4824-84EA-9026B9C0AF0D}"
"Change the time zone","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{03ED382E-33A2-4E20-A7C3-26AFE018D886}"
"Set the time and date","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D58D0F32-9128-40D3-89AF-8C63C5167C99}"
"Change default settings for media or devices","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{4F9B0706-0A8F-45B0-BFA6-C66CD45246D7}"
"Play CDs or other media automatically","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E6243488-3449-4D4D-98AA-FFC14E3FF0F8}"
"Start or stop using AutoPlay for all media and devices","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{6565D6E8-06A0-481C-A209-D43263C5A3B3}"
"Change search options for files and folders","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{5BB16858-F647-465E-BCFD-010EE9DD41B7}"
"Change the file type associated with a file extension","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{ABB4509D-9043-4EF2-8796-E4646ECF951D}"
"Show hidden files and folders","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9891D47B-7E37-4265-BAD2-1FA991543B90}"
"Show or hide file extensions","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{4A2F952E-0618-467F-ADC5-FEBB66AEB82F}"
"Specify single- or double-click to open","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B1207959-FFBF-4417-A6B1-4BF0EDA51F5A}"
"Preview, delete, or show and hide fonts","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D1AF7F5F-18C1-4143-81E5-EDAF02255883}"
"Change Font Settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{7429F4F9-AE58-401A-82AD-723F3C6BDDD6}"
"View installed fonts","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{96BC4455-FDA3-4DE2-8B71-9D1953F0B32D}"
"Private Character Editor","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{FFA33B6C-DC4D-438C-893F-EBF44A09BFC0}"
"Block or allow pop-ups","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{201CEF4B-7444-4B2F-B885-5E8F0AA1D614}"
"Block or allow third-party cookies","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9BA8A9A5-F1C1-4F09-AE9A-EFEAA5961BE3}"
"Change how web pages are displayed in tabs","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{21A5437E-D266-4F56-A146-06744A8BC071}"
"Change security settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{4228F99D-227F-4058-9EA3-BB2B616D7444}"
"Change temporary Internet file settings","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{84C9670E-825D-4128-B173-2963886C5A3E}"
"Change the search provider in Internet Explorer","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{A73DCDB5-E233-4FC2-8083-6E431939002A}"
"Change your homepage","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{BABB24A6-0242-4AE5-BD83-C5816526F63D}"
"Configure proxy server","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{B7622F10-9A47-4BF2-B6EF-2C20B4510254}"
"Delete browsing history","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{6CBA2898-2EFE-4604-9933-F1F64DAE2A32}"
"Delete cookies or temporary files","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{2D06D17B-2A5F-4835-AF30-6D2D58A4A66C}"
"Enable or disable session cookies","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{8050502B-9B94-408C-BF49-D2D8887C1BCF}"
"Manage browser add-ons","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{0F1B68F6-B72D-4229-BC9C-A87F0B16B17B}"
"Tell if an RSS feed is available on a website","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{907F262A-012A-4F6A-94C9-F479F3E6EE16}"
"Turn autocomplete in Internet Explorer on or off","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{9389633E-8BCB-4448-93CD-EBFFA0759257}"
"Choose how you open links","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{D5D5B38A-0FD8-43B6-8C7D-372D84BD357D}"
"Change cursor blink rate","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{33843DB0-24E7-4682-A019-5393D7F2BFFA}"
"Check keyboard status","","::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{ED7BA470-8E54-465E-825C-99712043E01C}\{E00117F3-53BA-4E06-B9BF-B8E22A1469E6}"
